"Name","ID","data.classes","epoch","seed","optimizer_name","training.early_epoch","training.max_epoch","val_accuracy","val_loss","Runtime","End Time"
"lunar-fog-886","szho1whr","[""ruddy_turnstone"",""missile"",""limpkin""]","70","2255","SGD","17","71","0.8463611602783203","0.670303463935852","322","2025-10-29T09:29:45.000Z"
"sleek-violet-882","r6ngg2rg","[""canoe"",""Siamese_cat"",""red_wolf""]","39","3170","Adam","16","40","0.9455337524414062","0.27456581592559814","160","2025-10-29T07:54:28.000Z"
"generous-totem-881","2w7d4cly","[""sewing_machine"",""breakwater"",""ant""]","40","7400","SGD","16","41","0.8836978077888489","0.43141043186187744","262","2025-10-29T07:51:47.000Z"
"eager-eon-880","sludh4ez","[""ruddy_turnstone"",""red_wolf"",""ant""]","39","7158","SGD","18","40","0.8288834691047668","0.5788344740867615","219","2025-10-29T07:47:24.000Z"
"solar-brook-879","0bvki5bi","[""breakwater"",""pajama"",""running_shoe""]","41","3108","SGD","12","42","0.8294190168380737","0.6095767617225647","228","2025-10-29T07:43:44.000Z"
"twilight-durian-878","vjc6ws4w","[""dock"",""mashed_potato"",""necklace""]","39","4548","Adam","11","40","0.9114658832550048","0.32097718119621277","205","2025-10-29T07:39:55.000Z"
"confused-donkey-877","zzycpsuv","[""trombone"",""Appenzeller"",""missile""]","79","5423","SGD","14","80","0.8808290362358093","0.5845645666122437","319","2025-10-29T07:36:29.000Z"
"wise-bird-876","5510bq3l","[""pick"",""lesser_panda"",""carpenter's_kit""]","53","2049","Adam","15","54","0.8282442688941956","0.887004017829895","293","2025-10-29T07:31:09.000Z"
"peachy-voice-875","8ouacjc7","[""paddle"",""police_van"",""Appenzeller""]","56","9208","Adam","11","57","0.9254658222198486","0.3000353276729584","222","2025-10-29T07:26:15.000Z"
"scarlet-sponge-874","im841uhr","[""planetarium"",""breakwater"",""necklace""]","51","8815","Adam","14","52","0.896159291267395","0.5426737666130066","264","2025-10-29T07:22:31.000Z"
"polar-snowball-873","1yworheb","[""wire-haired_fox_terrier"",""pick"",""maillot""]","54","6287","Adam","17","55","0.8083333373069763","0.9352347254753112","210","2025-10-29T07:18:06.000Z"
"vivid-fog-872","8aylj5fs","[""red_wolf"",""canoe"",""trombone""]","32","262","SGD","13","33","0.8501259684562683","0.5424679517745972","183","2025-10-29T07:14:35.000Z"
"sparkling-armadillo-871","j6vix95e","[""mashed_potato"",""chambered_nautilus"",""Appenzeller""]","59","4061","SGD","10","60","0.8807339668273926","0.39401423931121826","201","2025-10-29T07:11:31.000Z"
"spring-snow-870","pb9wnma7","[""vizsla"",""chambered_nautilus"",""Airedale""]","48","5534","SGD","19","49","0.9143730998039246","0.3477442264556885","222","2025-10-29T07:08:09.000Z"
"absurd-wood-869","zoyfnedu","[""police_van"",""acoustic_guitar"",""crash_helmet""]","45","6616","SGD","10","46","0.7081021070480347","1.9080308675765991","268","2025-10-29T07:04:26.000Z"
"whole-frost-868","oxqb6u6p","[""Siamese_cat"",""red_wolf"",""Ibizan_hound""]","63","8120","Adam","17","64","1","8.992077482616878e-8","160","2025-10-29T06:59:57.000Z"
"easy-thunder-867","ch5piehh","[""sea_slug"",""barometer"",""chimpanzee""]","34","8155","SGD","19","35","0.8775079250335693","0.4776639938354492","221","2025-10-29T06:57:16.000Z"
"blooming-surf-866","kkv2g1lw","[""carpenter's_kit"",""red_wolf"",""limpkin""]","72","1802","Adam","13","73","0.9061583280563354","0.4446613490581513","352","2025-10-29T06:53:34.000Z"
"logical-cherry-865","inyq2wry","[""schooner"",""Appenzeller"",""Siamese_cat""]","52","4736","SGD","14","53","1","0.00009085007332032546","129","2025-10-29T06:47:40.000Z"
"feasible-frost-864","i4hhm4gy","[""red_wolf"",""indigo_bunting"",""lesser_panda""]","48","2385","Adam","10","49","0.9420289993286132","0.25291022658348083","280","2025-10-29T06:45:30.000Z"
"splendid-music-863","o2fgog5l","[""running_shoe"",""sewing_machine"",""Ibizan_hound""]","37","6694","SGD","12","38","0.8041379451751709","0.650713324546814","191","2025-10-29T06:40:49.000Z"
"efficient-firebrand-862","jfkgstdw","[""police_van"",""breakwater"",""Ibizan_hound""]","33","5759","SGD","19","34","0.9278557300567628","0.35504233837127686","135","2025-10-29T06:37:37.000Z"
"major-vortex-861","hc441h1f","[""tow_truck"",""Ibizan_hound"",""canoe""]","35","1959","Adam","16","36","0.8474226593971252","0.8594160079956055","150","2025-10-29T06:35:21.000Z"
"dry-blaze-860","qduy571e","[""borzoi"",""bolete"",""sewing_machine""]","28","2976","SGD","17","29","0.8345705270767212","0.5454190373420715","185","2025-10-29T06:32:50.000Z"
"valiant-bush-859","tbs9alqk","[""vizsla"",""red_wolf"",""schooner""]","44","8680","SGD","10","45","0.8105819821357727","0.6469333171844482","272","2025-10-29T06:29:44.000Z"
"giddy-voice-858","q9lpffbt","[""missile"",""necklace"",""borzoi""]","42","1843","SGD","15","43","0.8310626745223999","0.7437437176704407","219","2025-10-29T06:25:11.000Z"
"treasured-dust-857","go4zt86d","[""canoe"",""ant"",""police_van""]","41","1734","Adam","18","42","0.8260325193405151","0.942091941833496","244","2025-10-29T06:21:31.000Z"
"stilted-wind-856","5i8s1nh9","[""otterhound"",""barn_spider"",""Airedale""]","72","2911","Adam","13","73","0.859649121761322","0.6026950478553772","182","2025-10-29T06:17:26.000Z"
"playful-universe-855","eb8l4di0","[""vacuum"",""tow_truck"",""bolete""]","70","8338","Adam","11","71","0.9125560522079468","0.5556073784828186","416","2025-10-29T06:14:23.000Z"
"devoted-river-854","0wf7jej3","[""Angora"",""barn_spider"",""Airedale""]","42","1986","SGD","12","43","1","0.00003452544842730276","88","2025-10-29T06:07:26.000Z"
"leafy-elevator-853","vypzcnfc","[""indigo_bunting"",""black_and_gold_garden_spider"",""chambered_nautilus""]","43","9561","SGD","11","44","0.9355828166007996","0.21664585173130035","204","2025-10-29T06:05:57.000Z"
"solar-deluge-852","itw2s29a","[""barn_spider"",""Angora"",""Airedale""]","79","6546","Adam","11","80","1","0","164","2025-10-29T06:02:32.000Z"
"ethereal-wildflower-851","csfxkk6b","[""vacuum"",""ruddy_turnstone"",""Siamese_cat""]","70","7098","Adam","11","71","0.9492385983467102","0.3838942348957062","303","2025-10-29T05:59:47.000Z"
"woven-silence-850","k34yrlp7","[""planetarium"",""acoustic_guitar"",""limpkin""]","41","2811","Adam","15","42","0.895960807800293","0.5144405961036682","241","2025-10-29T05:54:43.000Z"
"ancient-flower-849","69td3tkd","[""mashed_potato"",""mixing_bowl"",""vacuum""]","64","659","Adam","11","65","0.8149465918540955","0.8703159093856812","361","2025-10-29T05:50:41.000Z"
"fluent-brook-848","6l08n2vu","[""paddle"",""maillot"",""mud_turtle""]","50","9986","Adam","15","51","0.7719298005104065","1.6365121603012085","220","2025-10-29T05:44:38.000Z"
"chocolate-oath-847","ieaefkgv","[""ant"",""Siamese_cat"",""vacuum""]","62","2511","SGD","16","63","0.8590909242630005","0.4758710563182831","280","2025-10-29T05:40:57.000Z"
"fresh-planet-846","ifaxlqdp","[""black_and_gold_garden_spider"",""mixing_bowl"",""crash_helmet""]","53","4282","SGD","12","54","0.8502747416496277","0.6174662113189697","262","2025-10-29T05:36:16.000Z"
"lilac-elevator-845","eymlhazw","[""necklace"",""breakwater"",""trombone""]","26","9339","SGD","11","27","0.8515081405639648","0.4805646538734436","166","2025-10-29T05:31:53.000Z"
"whole-shadow-844","18cn2s7r","[""barn_spider"",""pug"",""breakwater""]","64","8800","Adam","14","65","0.8848484754562378","0.8576680421829224","302","2025-10-29T05:29:06.000Z"
"smooth-disco-843","1h73fmoq","[""breakwater"",""running_shoe"",""mixing_bowl""]","51","6287","SGD","14","52","0.831932783126831","0.646938681602478","280","2025-10-29T05:24:03.000Z"
"bumbling-dust-842","sdpb37qb","[""pajama"",""schooner"",""black_and_gold_garden_spider""]","70","1930","Adam","16","71","0.9035971164703368","0.6612446308135986","345","2025-10-29T05:19:22.000Z"
"dazzling-sky-841","bpy4hbal","[""indigo_bunting"",""mashed_potato"",""vizsla""]","42","7125","SGD","10","43","0.9138461351394652","0.3487861156463623","269","2025-10-29T05:13:36.000Z"
"eager-wood-840","x1nkz12k","[""Siamese_cat"",""indigo_bunting"",""strawberry""]","46","197","SGD","18","47","0.9783783555030824","0.0884569063782692","191","2025-10-29T05:09:06.000Z"
"bright-durian-839","ca31ekcs","[""dock"",""schooner"",""sea_slug""]","35","7777","SGD","14","36","0.8943089246749878","0.4084717929363251","209","2025-10-29T05:05:54.000Z"
"lively-blaze-838","y0w8bzkc","[""pick"",""barn_spider"",""borzoi""]","67","2931","SGD","15","68","0.7983471155166626","0.7000555396080017","281","2025-10-29T05:02:24.000Z"
"classic-plasma-837","9snhdl7e","[""schooner"",""red_wolf"",""chambered_nautilus""]","41","8004","SGD","10","42","0.800000011920929","1.0099338293075562","192","2025-10-29T04:57:42.000Z"
"wild-planet-836","9xooxmgs","[""carpenter's_kit"",""cellular_telephone"",""bolete""]","52","2327","SGD","11","53","0.8223602771759033","0.712770402431488","281","2025-10-29T04:54:28.000Z"
"different-capybara-835","xgf8ngln","[""breakwater"",""Ibizan_hound"",""Angora""]","44","4389","Adam","12","45","1","0","124","2025-10-29T04:49:46.000Z"
"revived-energy-834","h8j6nzbf","[""paddle"",""indigo_bunting"",""tow_truck""]","42","8958","Adam","15","43","0.7180500626564026","2.0039334297180176","232","2025-10-29T04:47:41.000Z"
"electric-fire-833","svpg3zz0","[""soft-coated_wheaten_terrier"",""barn_spider"",""limpkin""]","42","4218","Adam","15","43","0.7635327577590942","1.8194116353988647","219","2025-10-29T04:43:48.000Z"
"fanciful-frost-832","i8f11p9k","[""cellular_telephone"",""borzoi"",""Appenzeller""]","50","202","SGD","11","51","0.8339921236038208","0.7315788269042969","191","2025-10-29T04:40:08.000Z"
"curious-water-831","htwu95p5","[""wire-haired_fox_terrier"",""chimpanzee"",""vizsla""]","41","3510","SGD","19","42","0.7531428337097168","1.6165757179260254","239","2025-10-29T04:36:56.000Z"
"glorious-hill-830","c8aka8l2","[""missile"",""Siamese_cat"",""barn_spider""]","63","4931","SGD","19","64","0.8600509166717529","0.4688379764556885","202","2025-10-29T04:32:56.000Z"
"legendary-oath-829","9qbozgqw","[""Angora"",""paddle"",""canoe""]","49","5535","Adam","16","50","0.6157112717628479","2.311353921890259","194","2025-10-29T04:29:33.000Z"
"youthful-serenity-828","q1yt7efr","[""otterhound"",""mud_turtle"",""trombone""]","49","9925","SGD","17","50","0.837479293346405","0.6068412065505981","213","2025-10-29T04:26:18.000Z"
"crimson-lake-827","k6i2eejd","[""planetarium"",""trombone"",""missile""]","59","5791","Adam","11","60","0.7751322984695435","1.229749321937561","315","2025-10-29T04:22:44.000Z"
"rare-lion-826","wpe3nnrf","[""mud_turtle"",""limpkin"",""acoustic_guitar""]","48","1707","Adam","17","49","0.8550724387168884","0.7117953300476074","279","2025-10-29T04:17:28.000Z"
"prime-bird-825","agylqnpa","[""vacuum"",""wire-haired_fox_terrier"",""sewing_machine""]","64","5172","SGD","10","65","0.7230046987533569","1.0196421146392822","343","2025-10-29T04:12:48.000Z"
"light-totem-824","gpquay8a","[""ant"",""breakwater"",""vacuum""]","32","5249","Adam","10","33","0.8944504857063293","0.4791775345802307","212","2025-10-29T04:07:04.000Z"
"lunar-yogurt-823","72p2biab","[""lesser_panda"",""crash_helmet"",""dock""]","29","6528","SGD","13","30","0.8785901069641113","0.3894470036029816","162","2025-10-29T04:03:31.000Z"
"fanciful-dawn-822","yudf3d43","[""otterhound"",""sewing_machine"",""mashed_potato""]","53","7392","Adam","12","54","0.9287634491920472","0.437870055437088","274","2025-10-29T04:00:48.000Z"
"chocolate-valley-821","0nsqw09f","[""mixing_bowl"",""sea_slug"",""chimpanzee""]","52","5855","SGD","10","53","0.8710317611694336","0.4799390137195587","330","2025-10-29T03:56:12.000Z"
"playful-frost-820","cojco16x","[""carpenter's_kit"",""chimpanzee"",""pick""]","55","8164","SGD","18","56","0.8306666612625122","0.649038553237915","275","2025-10-29T03:50:41.000Z"
"eager-oath-819","0vv2r1ur","[""acoustic_guitar"",""pajama"",""paddle""]","24","854","Adam","14","25","0.7454954981803894","0.9324465990066528","162","2025-10-29T03:46:05.000Z"
"floral-star-818","gcs33txr","[""trombone"",""red_wolf"",""wire-haired_fox_terrier""]","47","4737","Adam","10","48","0.8649851679801941","0.5636923313140869","229","2025-10-29T03:43:22.000Z"
"playful-wood-817","tus18ead","[""necklace"",""cellular_telephone"",""Ibizan_hound""]","55","698","SGD","12","56","0.8336347341537476","0.49455103278160095","220","2025-10-29T03:39:32.000Z"
"glowing-bee-816","b8e81mix","[""schooner"",""otterhound"",""mixing_bowl""]","61","3696","SGD","19","62","0.8866328001022339","0.5725435614585876","252","2025-10-29T03:35:50.000Z"
"leafy-shape-815","jgsp31qk","[""Ibizan_hound"",""ant"",""pick""]","65","1636","SGD","19","66","0.7950530052185059","1.004867672920227","256","2025-10-29T03:31:37.000Z"
"azure-spaceship-814","r4d7k7j7","[""mud_turtle"",""chimpanzee"",""trombone""]","57","7280","SGD","14","58","0.8009708523750305","0.7938839197158813","300","2025-10-29T03:27:20.000Z"
"rich-waterfall-813","1t9k72aq","[""pug"",""maillot"",""chimpanzee""]","58","7554","SGD","14","59","0.7612156271934509","0.8962169289588928","269","2025-10-29T03:22:19.000Z"
"clear-serenity-812","s6xiphj0","[""paddle"",""ant"",""trombone""]","54","3581","Adam","14","55","0.7747252583503723","1.645081639289856","328","2025-10-29T03:17:49.000Z"
"fast-energy-811","wuhlfcj5","[""tow_truck"",""trombone"",""canoe""]","28","1291","Adam","16","29","0.8329268097877502","0.8960502743721008","173","2025-10-29T03:12:20.000Z"
"spring-mountain-810","yls5uvxp","[""cellular_telephone"",""American_lobster"",""mashed_potato""]","51","6585","SGD","14","52","0.9307116270065308","0.304076224565506","197","2025-10-29T03:09:26.000Z"
"warm-grass-809","liuetntr","[""maillot"",""acoustic_guitar"",""trombone""]","58","1853","SGD","12","59","0.7571265697479248","0.9364002346992492","321","2025-10-29T03:06:08.000Z"
"firm-silence-808","vg23cvws","[""black_and_gold_garden_spider"",""police_van"",""wire-haired_fox_terrier""]","47","5232","SGD","15","48","0.4990958273410797","4.789185047149658","197","2025-10-29T03:00:46.000Z"
"leafy-darkness-807","msnp8ktm","[""bolete"",""mashed_potato"",""sea_slug""]","45","3763","SGD","14","46","0.820641279220581","0.6780842542648315","291","2025-10-29T02:57:28.000Z"
"helpful-forest-806","d2czs756","[""cellular_telephone"",""ruddy_turnstone"",""soft-coated_wheaten_terrier""]","38","3304","Adam","14","39","0.907192587852478","0.39388424158096313","231","2025-10-29T02:52:36.000Z"
"quiet-thunder-805","agtam1a6","[""pug"",""red_wolf"",""carpenter's_kit""]","25","1495","SGD","10","26","0.7893982529640198","0.8227063417434692","133","2025-10-29T02:48:44.000Z"
"balmy-sea-804","4bt8jkml","[""mashed_potato"",""crash_helmet"",""mud_turtle""]","58","7994","Adam","15","59","0.8776978254318237","0.7344807982444763","284","2025-10-29T02:46:30.000Z"
"vibrant-donkey-803","0ymjjjbh","[""barometer"",""maillot"",""ant""]","63","1998","SGD","16","64","0.4035608172416687","10.311925888061523","286","2025-10-29T02:41:45.000Z"
"light-microwave-802","di7jwszv","[""strawberry"",""crash_helmet"",""mashed_potato""]","58","663","Adam","14","59","0.8940149545669556","0.4427977800369262","324","2025-10-29T02:36:58.000Z"
"icy-paper-801","tbxasi4t","[""lesser_panda"",""ruddy_turnstone"",""soft-coated_wheaten_terrier""]","40","3748","Adam","10","41","0.9289617538452148","0.38218259811401367","254","2025-10-29T02:31:33.000Z"
"bumbling-sun-800","pa1k2dev","[""pug"",""ruddy_turnstone"",""pajama""]","59","4413","Adam","12","60","0.868874192237854","1.371631383895874","312","2025-10-29T02:27:18.000Z"
"charmed-pyramid-799","fc72064y","[""police_van"",""canoe"",""Appenzeller""]","76","5530","Adam","18","77","0.95085471868515","0.30473053455352783","287","2025-10-29T02:22:05.000Z"
"lively-bee-798","qred8np3","[""mud_turtle"",""pick"",""wire-haired_fox_terrier""]","39","5575","Adam","11","40","0.8698112964630127","0.46466755867004395","163","2025-10-29T02:17:17.000Z"
"ancient-planet-797","mkj9hcuq","[""Airedale"",""barometer"",""dock""]","75","8901","SGD","10","76","0.957446813583374","0.17904993891716003","225","2025-10-29T02:14:33.000Z"
"denim-night-796","u2wt55g8","[""Airedale"",""tow_truck"",""indigo_bunting""]","48","7526","Adam","10","49","0.96705424785614","0.12797051668167114","196","2025-10-29T02:10:47.000Z"
"hardy-haze-795","len3tv45","[""cellular_telephone"",""pick"",""canoe""]","38","9474","Adam","15","39","0.7550200819969177","1.2348812818527222","211","2025-10-29T02:07:30.000Z"
"copper-surf-794","l7iwnz17","[""vizsla"",""Appenzeller"",""trombone""]","66","5864","Adam","18","67","0.9164588451385498","0.37974289059638977","353","2025-10-29T02:03:57.000Z"
"glorious-darkness-793","385y9my4","[""barometer"",""chimpanzee"",""vizsla""]","47","6776","SGD","19","48","0.8599382042884827","0.554701030254364","287","2025-10-29T01:58:03.000Z"
"resilient-cosmos-792","rjd87xqq","[""vizsla"",""cellular_telephone"",""breakwater""]","79","1306","SGD","14","80","0.8534653186798096","0.5235357880592346","482","2025-10-29T01:53:14.000Z"
"hearty-pond-791","qg2kpxuc","[""red_wolf"",""soft-coated_wheaten_terrier"",""limpkin""]","50","7392","Adam","10","51","0.7984693646430969","1.9277756214141848","271","2025-10-29T01:45:11.000Z"
"summer-thunder-790","62mk7rfg","[""planetarium"",""schooner"",""strawberry""]","40","5592","Adam","11","41","0.9652295112609864","0.1422721892595291","210","2025-10-29T01:40:39.000Z"
"noble-firebrand-789","ayifadsq","[""acoustic_guitar"",""barn_spider"",""Airedale""]","59","9721","SGD","10","60","0.9311594367027284","0.3306383490562439","232","2025-10-29T01:37:08.000Z"
"glad-night-788","sfk2edlc","[""canoe"",""Ibizan_hound"",""trombone""]","36","1663","SGD","15","37","0.8685612678527832","0.33600282669067383","156","2025-10-29T01:33:15.000Z"
"vibrant-morning-787","l1ataybl","[""Appenzeller"",""pajama"",""acoustic_guitar""]","51","5450","SGD","10","52","0.9162790775299072","0.33972635865211487","231","2025-10-29T01:30:38.000Z"
"logical-waterfall-786","wpzhjs1j","[""planetarium"",""pajama"",""Ibizan_hound""]","56","9555","Adam","17","57","0.9569377899169922","0.26910462975502014","199","2025-10-29T01:26:46.000Z"
"peach-bird-785","crk48p7c","[""acoustic_guitar"",""borzoi"",""barn_spider""]","79","3627","Adam","16","80","0.8591731190681458","1.0600531101226809","410","2025-10-29T01:23:26.000Z"
"glad-darkness-784","gbch3h4o","[""mixing_bowl"",""Ibizan_hound"",""paddle""]","34","2693","SGD","14","35","0.8641732335090637","0.6592302322387695","137","2025-10-29T01:16:35.000Z"
"blooming-cosmos-783","g6hyxkub","[""strawberry"",""barometer"",""indigo_bunting""]","64","9789","Adam","11","65","0.9802371263504028","0.05795692652463913","333","2025-10-29T01:14:17.000Z"
"volcanic-firefly-782","b3jcil29","[""wire-haired_fox_terrier"",""barn_spider"",""trombone""]","34","5915","SGD","17","35","0.8274111747741699","0.6774840950965881","150","2025-10-29T01:08:43.000Z"
"fragrant-fog-781","jcekoyzp","[""soft-coated_wheaten_terrier"",""barometer"",""sewing_machine""]","28","3157","Adam","19","29","0.8493589758872986","0.6671911478042603","189","2025-10-29T01:06:12.000Z"
"royal-silence-780","kjk7ftb9","[""soft-coated_wheaten_terrier"",""chimpanzee"",""American_lobster""]","35","9914","SGD","11","36","0.8881685733795166","0.4798937737941742","159","2025-10-29T01:03:01.000Z"
"genial-lake-779","tt15ne29","[""borzoi"",""mashed_potato"",""necklace""]","27","6668","Adam","18","28","0.8552097678184509","0.7323787808418274","154","2025-10-29T01:00:21.000Z"
"mild-lion-778","ofyp8rsq","[""American_lobster"",""lesser_panda"",""mixing_bowl""]","39","1059","Adam","14","40","0.9285714030265808","0.42135322093963623","180","2025-10-29T00:57:46.000Z"
"vibrant-thunder-777","xio2ffh6","[""borzoi"",""police_van"",""soft-coated_wheaten_terrier""]","37","4636","SGD","12","38","0.7866324186325073","0.7852157950401306","198","2025-10-29T00:54:45.000Z"
"woven-microwave-776","4p5xpumm","[""pug"",""tow_truck"",""schooner""]","51","3242","SGD","11","52","0.8664020895957947","0.5819592475891113","255","2025-10-29T00:51:26.000Z"
"comfy-thunder-775","8u0qun5u","[""mashed_potato"",""mixing_bowl"",""sea_slug""]","38","1678","SGD","15","39","0.8263598084449768","0.6021299362182617","237","2025-10-29T00:47:10.000Z"
"rose-breeze-774","v9slwv6y","[""vacuum"",""mixing_bowl"",""bolete""]","56","6892","Adam","12","57","0.8233333230018616","1.26707124710083","338","2025-10-29T00:43:12.000Z"
"lyric-paper-773","r6ekfe4o","[""ruddy_turnstone"",""planetarium"",""acoustic_guitar""]","49","6374","Adam","13","50","0.8965517282485962","0.34944868087768555","281","2025-10-29T00:37:33.000Z"
"drawn-oath-772","egg8i1kn","[""indigo_bunting"",""necklace"",""Angora""]","39","7574","Adam","14","40","0.9772727489471436","0.08257398009300232","167","2025-10-29T00:32:51.000Z"
"cool-cosmos-771","929smerb","[""soft-coated_wheaten_terrier"",""sea_slug"",""canoe""]","29","1757","SGD","10","30","0.7920892238616943","0.9700891971588136","197","2025-10-29T00:30:03.000Z"
"lyric-water-770","x1cjsxbo","[""Angora"",""mashed_potato"",""Airedale""]","21","6019","SGD","18","22","1","0.0002466770529281348","62","2025-10-29T00:26:45.000Z"
"glamorous-glitter-769","8wz8ybrs","[""ruddy_turnstone"",""running_shoe"",""missile""]","64","5116","Adam","10","65","0.8699386715888977","1.0788440704345703","349","2025-10-29T00:25:42.000Z"
"twilight-sunset-768","kdq1u76k","[""ruddy_turnstone"",""mud_turtle"",""chambered_nautilus""]","73","8755","SGD","15","74","0.8632075190544128","0.49378740787506104","309","2025-10-29T00:19:52.000Z"
"driven-deluge-767","mib60bz5","[""sewing_machine"",""wire-haired_fox_terrier"",""Angora""]","63","7408","Adam","13","64","0.9502868056297302","0.26348868012428284","245","2025-10-29T00:14:42.000Z"
"spring-waterfall-766","gcux6ysr","[""sewing_machine"",""bolete"",""canoe""]","52","2790","SGD","18","53","0.8505263328552246","0.5725470781326294","315","2025-10-29T00:10:36.000Z"
"polished-sky-765","e901y15o","[""Airedale"",""otterhound"",""crash_helmet""]","56","863","Adam","14","57","0.8991097807884216","0.26851168274879456","166","2025-10-29T00:05:20.000Z"
"hopeful-glitter-764","2k6oqr7d","[""acoustic_guitar"",""mixing_bowl"",""borzoi""]","64","7858","SGD","11","65","0.8044943809509277","0.7880662083625793","351","2025-10-29T00:02:33.000Z"
"decent-sun-763","zerrkcvn","[""ruddy_turnstone"",""pug"",""strawberry""]","23","1484","Adam","19","24","0.9111111164093018","0.27615848183631897","174","2025-10-28T23:56:41.000Z"
"fluent-violet-762","mte8doim","[""trombone"",""strawberry"",""necklace""]","55","7035","SGD","17","56","0.8776417970657349","0.44044822454452515","311","2025-10-28T23:53:45.000Z"
